Age,P05,P10,P25,P50,P75,P90,P95
85.4271,1201.8466,1214.1874,1234.7373,1257.4292,1280.3051,1301.3439,1314.1286
85.9296,1201.2663,1213.6744,1234.3398,1257.1644,1280.1791,1301.3503,1314.2175
86.4322,1200.6812,1213.1572,1233.9393,1256.8976,1280.0527,1301.3575,1314.3081
86.9347,1200.0910,1212.6356,1233.5355,1256.6291,1279.9259,1301.3658,1314.4008
87.4372,1199.4958,1212.1096,1233.1284,1256.3587,1279.7989,1301.3755,1314.4958
87.9397,1198.8954,1211.5791,1232.7182,1256.0867,1279.6718,1301.3868,1314.5934
88.4422,1198.2895,1211.0440,1232.3047,1255.8129,1279.5448,1301.3998,1314.6940
88.9447,1197.6781,1210.5042,1231.8878,1255.5376,1279.4180,1301.4150,1314.7977
89.4472,1197.0610,1209.9594,1231.4677,1255.2607,1279.2917,1301.4324,1314.9050
89.9497,1196.4381,1209.4098,1231.0441,1254.9824,1279.1659,1301.4524,1315.0161
90.4523,1195.8091,1208.8550,1230.6172,1254.7026,1279.0408,1301.4752,1315.1314
90.9548,1195.1739,1208.2951,1230.1868,1254.4214,1278.9167,1301.5011,1315.2512
91.4573,1194.5325,1207.7299,1229.7530,1254.1390,1278.7935,1301.5302,1315.3756
91.9598,1193.8851,1207.1598,1229.3160,1253.8554,1278.6713,1301.5626,1315.5047
92.4623,1193.2321,1206.5850,1228.8759,1253.5707,1278.5503,1301.5982,1315.6383
92.9648,1192.5736,1206.0056,1228.4330,1253.2851,1278.4304,1301.6371,1315.7766
93.4673,1191.9101,1205.4221,1227.9873,1252.9986,1278.3117,1301.6791,1315.9193
93.9698,1191.2418,1204.8345,1227.5392,1252.7114,1278.1942,1301.7243,1316.0664
94.4724,1190.5690,1204.2433,1227.0887,1252.4236,1278.0780,1301.7726,1316.2179
94.9749,1189.8920,1203.6486,1226.6361,1252.1353,1277.9630,1301.8241,1316.3737
95.4774,1189.2111,1203.0507,1226.1815,1251.8465,1277.8494,1301.8786,1316.5336
95.9799,1188.5267,1202.4499,1225.7252,1251.5574,1277.7371,1301.9361,1316.6977
96.4824,1187.8390,1201.8464,1225.2673,1251.2682,1277.6262,1301.9965,1316.8658
96.9849,1187.1482,1201.2403,1224.8079,1250.9787,1277.5166,1302.0600,1317.0379
97.4874,1186.4542,1200.6317,1224.3470,1250.6891,1277.4084,1302.1263,1317.2140
97.9899,1185.7572,1200.0206,1223.8847,1250.3994,1277.3016,1302.1956,1317.3940
98.4925,1185.0573,1199.4071,1223.4209,1250.1095,1277.1961,1302.2678,1317.5780
98.9950,1184.3546,1198.7913,1222.9558,1249.8195,1277.0920,1302.3429,1317.7659
99.4975,1183.6492,1198.1733,1222.4894,1249.5295,1276.9892,1302.4208,1317.9576
100.0000,1182.9411,1197.5531,1222.0218,1249.2394,1276.8878,1302.5016,1318.1532
